,Year,SLCP,CH4fe
0,0,1.0,1.0
1,1,0.0,0.0380541797583104
2,2,0.0,0.0433592287045549
3,3,0.0,0.0474474553843408
4,4,0.0,0.050574007639551
5,5,0.0,0.0529410580237738
6,6,0.0,0.0547087889754841
7,7,0.0,0.0560041004340508
8,8,0.0,0.056927512094669
9,9,0.0,0.057558634600217
10,10,0.0,0.0579605063666531
11,11,0.0,0.0581830312258907
12,12,0.0,0.058265703310547
13,13,0.0,0.0582397669544729
14,14,0.0,0.0581299287457118
15,15,0.0,0.0579557145831432
16,16,0.0,0.0577325453376391
17,17,0.0,0.0574725894592418
18,18,0.0,0.0571854387761801
19,19,0.0,0.0568786441435964
20,20,0.0,0.0565581399997377
21,21,0.0,0.0562285808629198
22,22,0.0,0.0558936080271876
23,23,0.0,0.0555560609292202
24,24,0.0,0.0552181446584904
25,25,0.0,0.0548815627042325
26,26,0.0,0.0545476221474152
27,27,0.0,0.0542173170114546
28,28,0.0,0.0538913943007882
29,29,0.0,0.0535704063173878
30,30,0.0,0.0532547521009741
31,31,0.0,0.052944710248657
32,32,0.0,0.0526404649020537
33,33,0.0,0.0523421263191885
34,34,0.0,0.0520497471546361
35,35,0.0,0.0517633353384061
36,36,0.0,0.0514828642594464
37,37,0.0,0.0512082808132594
38,38,0.0,0.0509395117571234
39,39,0.0,0.0506764687244373
40,40,0.0,0.0504190521768162
41,41,0.0,0.050167154514779
42,42,0.0,0.0499206625220703
43,43,0.0,0.0496794592823432
44,44,0.0,0.0494434256781721
45,45,0.0,0.0492124415595184
46,46,0.0,0.0489863866507341
47,47,0.0,0.0487651412508091
48,48,0.0,0.0485485867702508
49,49,0.0,0.0483366061389447
50,50,0.0,0.048129084112229
51,51,0.0,0.0479259074967507
52,52,0.0,0.0477269653131843
53,53,0.0,0.0475321489093457
54,54,0.0,0.0473413520344139
55,55,0.0,0.0471544708827396
56,56,0.0,0.0469714041139518
57,57,0.0,0.0467920528546732
58,58,0.0,0.0466163206860373
59,59,0.0,0.0464441136203289
60,60,0.0,0.0462753400693629
61,61,0.0,0.0461099108066707
62,62,0.0,0.0459477389251206
63,63,0.0,0.0457887397912542
64,64,0.0,0.0456328309973456
65,65,0.0,0.0454799323119714
66,66,0.0,0.0453299656297128
67,67,0.0,0.0451828549204628
68,68,0.0,0.0450385261787196
69,69,0.0,0.0448969073731488
70,70,0.0,0.0447579283966378
71,71,0.0,0.0446215210170052
72,72,0.0,0.0444876188284984
73,73,0.0,0.0443561572041622
74,74,0.0,0.0442270732491529
75,75,0.0,0.044100305755038
76,76,0.0,0.0439757951551152
77,77,0.0,0.0438534834807644
78,78,0.0,0.0437333143188455
79,79,0.0,0.0436152327701339
80,80,0.0,0.0434991854087975
81,81,0.0,0.043385120242898
82,82,0.0,0.0432729866759034
83,83,0.0,0.0431627354691998
84,84,0.0,0.0430543187055796
85,85,0.0,0.0429476897536894
86,86,0.0,0.0428428032334167
87,87,0.0,0.0427396149821925
88,88,0.0,0.0426380820221933
89,89,0.0,0.0425381625284156
90,90,0.0,0.0424398157976036
91,91,0.0,0.0423430022180115
92,92,0.0,0.0422476832399731
93,93,0.0,0.0421538213472671
94,94,0.0,0.0420613800292455
95,95,0.0,0.0419703237537172
96,96,0.0,0.0418806179405585
97,97,0.0,0.0417922289360362
98,98,0.0,0.0417051239878201
99,99,0.0,0.0416192712206723
100,100,0.0,0.0415346396127883
101,101,0.0,0.0414511989727798
102,102,0.0,0.0413689199172744
103,103,0.0,0.0412877738491236
104,104,0.0,0.0412077329361953
105,105,0.0,0.0411287700907406
106,106,0.0,0.0410508589493166
107,107,0.0,0.0409739738532515
108,108,0.0,0.0408980898296353
109,109,0.0,0.040823182572827
110,110,0.0,0.0407492284264558
111,111,0.0,0.0406762043659139
112,112,0.0,0.0406040879813168
113,113,0.0,0.040532857460926
114,114,0.0,0.0404624915750201
115,115,0.0,0.0403929696601981
116,116,0.0,0.0403242716041091
117,117,0.0,0.0402563778305935
118,118,0.0,0.0401892692852248
119,119,0.0,0.0401229274212417
120,120,0.0,0.0400573341858602
121,121,0.0,0.0399924720069559
122,122,0.0,0.0399283237801039
123,123,0.0,0.0398648728559702
124,124,0.0,0.0398021030280425
125,125,0.0,0.0397399985206938
126,126,0.0,0.0396785439775652
127,127,0.0,0.0396177244502647
128,128,0.0,0.039557525387371
129,129,0.0,0.0394979326237324
130,130,0.0,0.0394389323700565
131,131,0.0,0.0393805112027797
132,132,0.0,0.0393226560542105
133,133,0.0,0.0392653542029375
134,134,0.0,0.0392085932645013
135,135,0.0,0.0391523611823094
136,136,0.0,0.0390966462188058
137,137,0.0,0.0390414369468721
138,138,0.0,0.038986722241464
139,139,0.0,0.0389324912714726
140,140,0.0,0.0388787334918055
141,141,0.0,0.0388254386356812
142,142,0.0,0.0387725967071326
143,143,0.0,0.0387201979737118
144,144,0.0,0.0386682329593916
145,145,0.0,0.0386166924376605
146,146,0.0,0.0385655674248003
147,147,0.0,0.0385148491733507
148,148,0.0,0.0384645291657446
149,149,0.0,0.0384145991081182
150,150,0.0,0.0383650509242887
151,151,0.0,0.0383158767498927
152,152,0.0,0.038267068926683
153,153,0.0,0.0382186199969815
154,154,0.0,0.0381705226982789
155,155,0.0,0.0381227699579821
156,156,0.0,0.0380753548883027
157,157,0.0,0.038028270781283
158,158,0.0,0.0379815111039573
159,159,0.0,0.0379350694936436
160,160,0.0,0.0378889397533608
161,161,0.0,0.0378431158473713
162,162,0.0,0.0377975918968446
163,163,0.0,0.0377523621756339
164,164,0.0,0.037707421106173
