,Year,SLCP,CO2fe
158,158,0.0,-0.00020882678415107
159,159,0.0,-0.000205792529932574
160,160,0.0,-0.000202808428610475
161,161,0.0,-0.000199873637724506
162,162,0.0,-0.000196987329508416
163,163,0.0,-0.000194148690580704
164,164,0.0,-0.000191356921644081
165,165,0.0,-0.000188611237198711
166,166,0.0,-0.000185910865263336
167,167,0.0,-0.000183255047107581
168,168,0.0,-0.000180643036993293
169,169,0.0,-0.000178074101922281
170,170,0.0,-0.000175547521393774
171,171,0.0,-0.000173062587168699
172,172,0.0,-0.000170618603039451
173,173,0.0,-0.000168214884607667
174,174,0.0,-0.000165850759066938
175,175,0.0,-0.000163525564992936
176,176,0.0,-0.000161238652134668
177,177,0.0,-0.000158989381217203
178,178,0.0,-0.000156777123743246
179,179,0.0,-0.000154601261802179
180,180,0.0,-0.000152461187884628
181,181,0.0,-0.000150356304697673
182,182,0.0,-0.000148286024987267
183,183,0.0,-0.000146249771362994
184,184,0.0,-0.000144246976126897
185,185,0.0,-0.000142277081105376
186,186,0.0,-0.000140339537485696
187,187,0.0,-0.000138433805654222
188,188,0.0,-0.000136559355039026
189,189,0.0,-0.000134715663954753
190,190,0.0,-0.000132902219451659
191,191,0.0,-0.000131118517165695
192,192,0.0,-0.000129364061173722
193,193,0.0,-0.000127638363848468
194,194,0.0,-0.000125940945719554
195,195,0.0,-0.000124271335334412
196,196,0.0,-0.000122629069122995
197,197,0.0,-0.000121013691264511
198,198,0.0,-0.000119424753556556
199,199,0.0,-0.000117861815287242
200,200,0.0,-0.000116324443108273
201,201,0.0,-0.00011481221091143
202,202,0.0,-0.000113324699706861
203,203,0.0,-0.000111861497504003
204,204,0.0,-0.000110422199191787
205,205,0.0,-0.000109006406426617
206,206,0.0,-0.000107613727515757
207,207,0.0,-0.000106243777307491
208,208,0.0,-0.000104896177081241
209,209,0.0,-0.000103570554438976
210,210,0.0,-0.000102266543200676
211,211,0.0,-0.000100983783298837
212,212,0.0,-9.97219206774752e-5
213,213,0.0,-9.84806071900971e-5
214,214,0.0,-9.7259500502313e-5
215,215,0.0,-9.60582639932316e-5
216,216,0.0,-9.48765666610499e-5
217,217,0.0,-9.37140830286153e-5
218,218,0.0,-9.25704930505038e-5
219,219,0.0,-9.14454820237483e-5
220,220,0.0,-9.03387404966687e-5
221,221,0.0,-8.9249964182775e-5
222,222,0.0,-8.81788538731857e-5
223,223,0.0,-8.71251153529063e-5
224,224,0.0,-8.60884593165547e-5
225,225,0.0,-8.50686012864113e-5
226,226,0.0,-8.40652615328182e-5
227,227,0.0,-8.3078164993242e-5
228,228,0.0,-8.21070411958204e-5
229,229,0.0,-8.11516241817328e-5
230,230,0.0,-8.02116524303603e-5
231,231,0.0,-7.92868687849041e-5
232,232,0.0,-7.83770203798007e-5
233,233,0.0,-7.74818585687306e-5
234,234,0.0,-7.66011388546063e-5
235,235,0.0,-7.57346208196473e-5
236,236,0.0,-7.48820680580945e-5
237,237,0.0,-7.40432481086434e-5
238,238,0.0,-7.32179323890207e-5
239,239,0.0,-7.24058961305742e-5
240,240,0.0,-7.16069183155563e-5
241,241,0.0,-7.08207816137308e-5
242,242,0.0,-7.00472723209408e-5
243,243,0.0,-6.92861802992657e-5
244,244,0.0,-6.85372989165121e-5
245,245,0.0,-6.78004249883325e-5
246,246,0.0,-6.70753587206944e-5
247,247,0.0,-6.63619036526467e-5
248,248,0.0,-6.56598666018185e-5
249,249,0.0,-6.49690576086084e-5
250,250,0.0,-6.42892898828019e-5
251,251,0.0,-6.36203797510121e-5
252,252,0.0,-6.29621466040528e-5
253,253,0.0,-6.23144128466038e-5
254,254,0.0,-6.16770038456705e-5
255,255,0.0,-6.10497478826083e-5
256,256,0.0,-6.04324761033447e-5
257,257,0.0,-5.98250224711795e-5
258,258,0.0,-5.92272237194401e-5
259,259,0.0,-5.86389193056676e-5
